8.051839670443088792e+00,8.009822734893030649e-01,1.511852313045106977e-01,8.347895475386170574e+02,4.605577446709351319e-01
1.331112059125880442e+01,8.009822734893030649e-01,8.954572099204299862e-01,4.712335746650207824e+00,4.605577446709351319e-01
1.219237461652164178e+01,8.009822734893030649e-01,6.381872095133859091e+01,1.081720804467670831e+02,4.605577446709351319e-01
1.960503482791390037e+06,8.009822734893030649e-01,1.451615289692138877e-01,6.566788907456084790e-01,4.605577446709351319e-01
1.023812599784371002e+01,8.009822734893030649e-01,4.906088828560427828e+01,2.223835898294074980e+02,4.605577446709351319e-01
1.262512540786386595e+01,8.009822734893030649e-01,9.030675979707257772e-01,1.291471218825291345e+01,4.605577446709351319e-01
8.488380171809566832e+00,8.009822734893030649e-01,6.145713671211271434e-01,6.827488757364696994e+02,4.605577446709351319e-01
1.458926643902002240e+01,8.009822734893030649e-01,1.292727352052876277e+01,3.781113056963294383e+01,4.605577446709351319e-01
1.156093989663476052e+01,8.009822734893030649e-01,4.341562006441737509e+00,8.302358622925720510e+01,4.605577446709351319e-01
1.022198318277763914e+40,8.009822734893030649e-01,1.171538705443044177e-02,4.992489157779899656e-01,4.605577446709351319e-01
7.903650331318647915e+00,8.009822734893030649e-01,2.492257944026188277e-02,7.944955070048451944e+02,4.605577446709351319e-01
8.872435058760530069e+00,8.009822734893030649e-01,1.191135528818428879e-01,1.244630866780663609e+02,4.605577446709351319e-01
1.426867246575038450e+01,8.009822734893030649e-01,1.979296763428720629e+00,1.168630112471970151e+01,4.605577446709351319e-01
7.848017492979367127e+00,8.009822734893030649e-01,1.017964516123907003e-02,6.156399295661913129e+02,4.605577446709351319e-01
1.658499128888171370e+01,8.009822734893030649e-01,1.090767641513520481e+01,1.403102521465448760e+01,4.605577446709351319e-01
1.370164078501910332e+01,8.009822734893030649e-01,2.090817292083083601e+01,6.382601495699915972e+01,4.605577446709351319e-01
8.928982021054602924e+00,8.009822734893030649e-01,2.375605603265876220e-02,1.260954869870806938e+01,4.605577446709351319e-01
1.149850209198424800e+01,8.009822734893030649e-01,2.277024512192108163e-01,5.100899578708574467e+00,4.605577446709351319e-01
1.448518595682253540e+01,8.009822734893030649e-01,3.939956797027345914e+01,5.608997186971746629e+01,4.605577446709351319e-01
1.532384733590885162e+01,8.009822734893030649e-01,2.102875991995868610e+00,3.094556113320264146e+00,4.605577446709351319e-01
